"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	0	840	"stro"	1
"2015"	0	840	"oxmo"	2
"2015"	0	840	"trer"	1
"2015"	0	840	"arnu"	2
"2015"	0	860	"vial"	2
"2015"	0	860	"drsp"	6
"2015"	0	860	"asac"	1
"2015"	0	860	"arnu"	2
"2015"	0	860	"oxmo"	1
"2015"	0	860	"stro"	1
"2015"	0	860	"clbo"	3
"2015"	0	860	"trer"	1
"2015"	0	860	"lylu"	3
"2015"	0	860	"maca"	2
"2015"	0	860	"soam"	2
"2015"	0	860	"ruid"	1
"2015"	0	860	"drno"	1
"2015"	0	880	"vial"	3
"2015"	0	880	"arnu"	3
"2015"	0	880	"lylu"	2
"2015"	0	880	"clbo"	3
"2015"	0	880	"maca"	2
"2015"	0	880	"drsp"	5
"2015"	0	880	"oxmo"	1
"2015"	0	880	"grass"	1
"2015"	0	900	"vial"	6
"2015"	0	900	"lylu"	3
"2015"	0	900	"oxmo"	1
"2015"	0	900	"clbo"	1
"2015"	0	900	"drsp"	2
"2015"	0	900	"soam"	1
"2015"	0	920	"vial"	3
"2015"	0	920	"depu"	6
"2015"	0	920	"drsp"	2
"2015"	0	920	"trer"	1
"2015"	0	920	"maca"	2
"2015"	0	920	"ruoc"	3
"2015"	0	920	"arnu"	2
"2015"	0	920	"stro"	1
"2015"	0	920	"oxmo"	1
"2015"	0	940	"vial"	4
"2015"	0	940	"drsp"	6
"2015"	0	940	"ruoc"	1
"2015"	0	940	"trer"	1
"2015"	0	940	"clbo"	2
"2015"	0	940	"grass"	1
"2015"	0	940	"drno"	2
"2015"	0	940	"sofl"	2
"2015"	0	940	"oxmo"	2
"2015"	0	940	"maca"	2
"2015"	0	940	"soam"	1
"2015"	0	960	"vial"	3
"2015"	0	960	"arnu"	2
"2015"	0	960	"maca"	1
"2015"	0	960	"drsp"	2
"2015"	0	960	"trun"	2
"2015"	0	960	"lylu"	1
"2015"	0	960	"oxmo"	1
"2015"	0	960	"clbo"	2
"2015"	0	980	"vial"	1
"2015"	0	980	"soam"	1
"2015"	0	980	"maca"	2
"2015"	0	980	"grass"	1
"2015"	0	980	"drsp"	2
"2015"	0	980	"clbo"	2
"2015"	0	980	"lylu"	3
"2015"	0	980	"trer"	1
"2015"	0	980	"oxmo"	1
"2015"	0	980	"stam"	1
"2015"	20	0	"plob"	2
"2015"	20	0	"drsp"	2
"2015"	20	0	"stro"	2
"2015"	20	0	"trer"	2
"2015"	20	0	"arnu"	2
"2015"	20	0	"dare"	2
"2015"	20	0	"loca"	2
"2015"	20	0	"cial"	1
"2015"	20	0	"oxmo"	2
"2015"	20	0	"maca"	1
"2015"	20	0	"grass"	1
"2015"	20	0	"clca"	1
"2015"	20	0	"vial"	1
"2015"	20	20	"artr"	1
"2015"	20	20	"stro"	1
"2015"	20	20	"trer"	1
"2015"	20	20	"prtr"	1
"2015"	20	20	"lylu"	1
"2015"	20	20	"violasp"	1
"2015"	20	20	"drsp"	1
"2015"	20	20	"poac"	2
"2015"	20	20	"acru"	1
"2015"	20	40	"vial"	3
"2015"	20	40	"stro"	1
"2015"	20	40	"lylu"	2
"2015"	20	40	"drsp"	2
"2015"	20	40	"oxmo"	2
"2015"	20	40	"trer"	1
"2015"	20	40	"trun"	1
"2015"	20	60	"trbo"	1
"2015"	20	60	"stro"	1
"2015"	20	60	"trer"	1
"2015"	20	60	"drsp"	1
"2015"	20	60	"lylu"	2
"2015"	20	80	"vial"	3
"2015"	20	80	"drsp"	2
"2015"	20	80	"lylu"	3
"2015"	20	80	"trbo"	1
"2015"	20	80	"stro"	1
"2015"	20	80	"oxmo"	1
"2015"	20	100	"vial"	2
"2015"	20	100	"trer"	1
"2015"	20	100	"drsp"	2
"2015"	20	100	"lylu"	1
"2015"	20	100	"oxmo"	1
"2015"	20	100	"mevi"	1
"2015"	20	100	"prtr"	1
"2015"	20	120	"lylu"	3
"2015"	20	120	"oxmo"	2
"2015"	20	120	"vial"	2
"2015"	20	120	"drsp"	3
"2015"	160	220	"mara"	1
"2015"	20	120	"maca"	1
"2015"	20	120	"clbo"	1
"2015"	20	120	"trer"	1
"2015"	20	140	"drsp"	3
"2015"	20	140	"oxmo"	2
"2015"	20	140	"vial"	2
"2015"	20	140	"trbo"	1
"2015"	20	140	"mevi"	2
"2015"	20	140	"stro"	1
"2015"	20	140	"lylu"	4
"2015"	20	140	"trun"	1
"2015"	20	160	"drsp"	2
"2015"	20	160	"lylu"	2
"2015"	20	160	"maca"	1
"2015"	20	160	"trer"	2
"2015"	20	160	"stro"	1
"2015"	20	160	"clbo"	1
"2015"	20	160	"oxmo"	1
"2015"	20	160	"vial"	2
"2015"	20	160	"mevi"	1
"2015"	20	180	"trun"	1
"2015"	20	180	"lylu"	2
"2015"	20	180	"vial"	2
